"id","text","label"
"1403132696566632448","caralho eua tirou o brasil da lista pra doação de vacinas da pfizer pqp fudeu",""
"1374754259783315464","Indre : près de 20.000 nouvelles doses de vaccins Pfizer attendue en avril",""
"1398497656826179584","i got vaccinated on monday and now my period is like a week late i wonder is it just gonna just skip now or am i in for a surprise at an inconvenient time hm",""
"1418063939720466438","We need fewer excuses and more action. Sort out the vaccine rollout and reinstate JobKeeper now - thousands, if not millions, of livelihoods hang in the balance",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1403113300653580290","** NO   Mask !!!
** NO   Vaccine !!!
** NO   Control !!!
**  Deep  State  Out !!!",""
"1401703217927446536","So thankful live music is back. Missed it more than anything else. The great @toddsnider at the great ⁦@KesslerTheater⁩ Thank you to everyone who has been vaccinated for allowing this to happen-tell a friend.",""
"1394403713456951297","Theres a few concerning reasons you suddenly do what the CDC did with no way of proving your vaccinated status...create fear, cause another surge, or say theres another surge...which leads to mandatory vaccinations at most businesses and/or the dreaded passport.",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1394424106083262464","PETITION: Say NO to mandatory vaccination for the coronavirus",""
"1396109480404819968","Budak budak mmg dok buat anti vax teruk2 eh? Ya Allah meluat la tgk dok buat sempoii gila2! Fakof",""
"1439591115854811141","when your state makes national news for covid cases bc most people literally refuse to wear masks or get vaccinated or stop being in large crowds if they’re not 👌🏽",""
"1392915597294505990","O Presidente da Pfizer tinha pedido uma reunião com o Bolsonaro para negociarem a compra das vacinas.

A reunião tinha sido marcada para o dia 17/11, mas o Bolsonaro não foi, ele preferiu ir para um evento com o Amado Batista.",""
"1392917086511456256","Fico imaginando quantas famílias não estariam chorando nesse momento se essa vacina da Pfizer tivesse sido levada a sério ainda no ano passado.",""
"1431785682419150853","@WBrettWilson @brianlilley now 100% clear that fully vaccinated are responsible for emergence of variants and spreading them. The vaccination program is causing much more harm than benefit. Go to 40 minute mark to start listening if not time for all of it.",""
"1397957740610400272","After 9 pm vaccine debate, one doubt cleared: all experts maintain vaccines have always been procured by ONLY the centre. Then why reverse policy for Covid to allow states to put out competing global tenders instead of one ‘national’ tender? State pressure or to pass the buck?🙏",""
"1378927082177110018","I think the only vaccine side effect I have is that I’m really tired. So I’m gonna sleep!!",""
"1414883691352920071","COVID-19 vaccine shortage hits Indian capital, several states  #vanguardnews",""
"1438224403779702787","If You Get a Pfizer Booster, Expect These Side Effects, New FDA Report Says #SmartNews",""
"1405771689087012865","@OSHA_DOL""self-atest"" you mean #LIE?
So employees could sue if they get #covid from a non-masked unvaccinated Liar. 

Cal/OSHA Votes To Let Vaccinated Employees Shed Face Masks In The Workplace – CBS Los Angeles",""
"1392917192908357636","I wonder if there's a study anywhere that proves a correlation between people who refused to wear a mask/get the vaccine and people who are more willing to drive drunk.",""
"1378291301813215235","This vaccine is kicking my ass so I’m having cheesy pasta for breakfast",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1438373012995067905","I have given a lot of thought about the vaccine and my son, there is no way I am having my only son take this drug.",""
"1423932589702778886","The COVID-19 vaccine followed the same safety tests as over 600 clinical trials.

If you haven't already, get your 1st or 2nd dose of the vaccine today at a local vaccine site near you. 2nd jabs available 8 weeks after your 1st one.

All details here:",""
"1375053701434515460","Israel: descubren que la variante sudafricana limita la eficacia de la vacuna Pfizer de EEUU y BioNTech de Alemania. la prevalencia de la variante era mayor entre los jóvenes sin condiciones de salud previas, pero que aun así se producían cuadros graves.",""
"1425509190861209605","You down bad if you wasn’t getting the vaccine until they started giving out money for it?",""
"1389482866984226821","Distributing #COVID19 vaccines has been challenging, meaning in some cases vaccines are being delivered close to their expiration date; but the WHO is urging countries to hold on to the doses while it assesses whether shelf lives can be extended. @gavi",""
"1442762990567272448","On @BBCNolan today - 

Reckless - and a failure of leadership - the SDLP blast DUP, Sinn Féin and the UUP who have opposed mandatory vaccine passports

📻 @bbcradioulster
 
🎧 @BBCSounds
 
📞 03030805555 | 📲 81771",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1396124855154606086","Why r u stopped Ayurveda.. Is it right medicine of allopathi...like ivermectin,azithromicin,redemesvor, vaccine for corona virus... Show the proof.. Pharma black business. Drama #I_SUPPORT_RAMDEV",""
"1408660124495798274","Serum Institute begins production of Novavax covid vaccine in Pune",""
"1408637817534750720","Groundbreaking 'superhero' vaccine based on Olympic athlete DNA could transform society - Study Finds",""
"1433331490562220036","If you’re over the age of 18 I see no reason as to why you have not gotten the vaccine yet. No excuses 🤷🏼‍♀️",""
"1382182611502649347","Forsyth County Health Department, Novant Health, Wake Forest Baptist Health pause all Johnson &amp; Johnson COVID-19 vaccines over blood clot concerns",""
"1418697253405986816","Police in Athens Greece unleash water cannons and tear gas against protestors outside the Capital's parliament. People in Greece are protesting the vaccine passports and mandatory vaccinations for some jobs.",""
"1425376435116576768","The KFF COVID-19 Vaccine Monitor is an ongoing research project tracking the public’s attitudes and experiences with COVID-19 vaccinations.",""
"1431095625488211974","The NFL says 93% of players are vaccinated for COVID-19 and the league wanted mandatory vaccination but the NFLPA wouldn’t agree to it.",""
"1409720858319360002","Dear Australia,
You've been warned, you WILL be vaccinated. State governments now supporting federal stance on mandatory vaccinations if businesses request it. No vaccine, no job, ethics has gone out the window, YOU WILL BE VACCINATED",""
"1384222449412104197","Someone moron on IG just called me a SHEEP for not getting the vaccine 🤯🤣",""
"1374759704795172869","I’ve finished my full course of the Moderna vaccine and (alongside arm soreness + chills) it gave me intense, elongated dreams? Very quotidian, not nightmares, but it felt like I went through weeks of little activities and conversations",""
"1391027949562863620","Covid-19 news: UK under-40s to get alternative to AstraZeneca vaccine",""
"1418761776234209289","Hainkel Home nursing home ⁦@LCMCHealth⁩ reached 95% of staff vaccinated and 99% residents vaccinated as of today 🏆 🏆 🏆 

Louisiana nursing home residents mostly vaccinated; the workers, not so much | Coronavirus |",""
"1382393979535249410","All Kenyans who took the #SputnikV jab should sue the state for Re-Exporting #SputnikV vaccine 💉 &amp; ENDANGERING lives of so many people who took it,were ready for 2nd one and who were ready to. Matters of health is personal that’s why personally I won’t take the jab. @MOH_Kenya",""
"1419245895258890244","porfa que me vacunen con Pfizer que tengo casi 20 años y aun no me han crecido las tetas",""
"1417807200228085760","Indiana U.’s Vaccine Mandate Has Survived a Legal Challenge. It’s Still an Anomaly.  from @Oyin_Adedoyin_",""
"1442245950118916097","Big four UK accountancy firms face radical shake-up NB these are the “consultants of choice” for Fed gov spending on useless Covid apps, wasteful vaccine #strollout etc. Jobs that should go to Australians with realistic salaries/ public service #auspol",""
"1395638887033147393","Say No To Vaccine Passports - Pauline Hanson’s One Nation Party  via @OneNationAus",""
"1402020535085715457","I went to the grocery store without a mask for the first time in a long time.  (It is allowed for fully vaccinated customers). Felt weird.",""
"1393379362020499458","How to Get Promotions, Prizes and Freebies with your COVID-19 Vaccine",""
"1373724359194447879","With inflation looming and US bond yields rising sharply, I am topping up on the cyclicals and a few stocks that could benefit from vaccine rollouts and economies reopening. Cyclicals imply value.",""
"1381592200652410880","1 million Pfizer doses expected this week. London’s N6A neighbourhood has highest positivity rate in the province. Most under 55. Not AZers. Advocate to protect N6A
@Westernu @Healthmac @PublicHealthON @celliottability @fordnation",""
"1409193197335678982","Audience members had to show proof of full vaccination to get into the show  via @TheWrap",""
"1415263307926233089","School districts and some teachers unions are pushing to get students vaccinated",""
